,Probability_Home_win,Probability_Draw,Probability_Away_win,home_team,away_team,Pinnacle Closing Home Win Odds,Pinnacle Closing Draw Odds,Pinnacle Closing Away Win Odds,implied home win prob,implied draw prob,implied away win prob,Total_implied_probability,match_result,Correct_EV_Home_Win,Correct_EV_Draw,Correct_EV_Away_Win,Highest_EV_Bet,Highest_EV_Value,Best_Bet_Odds,Best_Bet_Type,Best_Bet_Outcome,Positive_EV_Outcomes,implied_match_result
30,0.611349593485525,0.2057545763893168,0.1828958301251582,brentford,bournemouth,1.75,4.01,4.86,57.14285714285714,24.93765586034913,20.576131687242796,102.65664469044906,1,0.6986178859966872,-1.7492414867883967,-1.1112626559173115,Correct_EV_Home_Win,0.6986178859966872,,No Bet,0.0,-10.0,0
31,0.4119950093484224,0.2180179053457288,0.3699870853058488,brighton,newcastle utd,2.64,3.87,2.59,37.878787878787875,25.839793281653744,38.61003861003861,102.32861977048023,0,0.8766682467983529,-1.5627070631202962,-0.4173344905785177,Correct_EV_Home_Win,0.8766682467983529,,No Bet,0.0,16.400000000000002,2
32,0.2530974099360968,0.2370834081409383,0.5098191819229648,burnley,tottenham,3.71,3.79,2.04,26.954177897574123,26.385224274406333,49.01960784313725,102.3590100151177,2,-0.6100860913708086,-1.014538831458439,0.4003113112284833,Correct_EV_Away_Win,0.4003113112284833,,No Bet,0.0,10.399999999999999,2
33,0.6621038273089509,0.1838700687914312,0.1540261038996178,chelsea,nott'ham forest,1.41,5.01,8.45,70.92198581560284,19.960079840319363,11.834319526627219,102.71638518254943,2,-0.6643360349437928,-0.7881095535492983,3.0152057795177036,Correct_EV_Away_Win,3.0152057795177036,,No Bet,0.0,74.5,0
34,0.8089491584725073,0.1617246596584235,0.0293261818690691,manchester city,fulham,1.19,7.65,16.0,84.03361344537815,13.071895424836603,6.25,103.35550887021475,0,-0.3735050141771641,2.3719364638693996,-5.307810900948944,Correct_EV_Draw,2.3719364638693996,,No Bet,0.0,-10.0,0
35,0.2682716130763435,0.2984138566531227,0.4333145302705337,sheffield utd,everton,3.21,3.42,2.39,31.15264797507788,29.239766081871345,41.84100418410041,102.23341824104963,1,-1.388481220249373,0.20575389753679652,0.3562172734657558,Correct_EV_Away_Win,0.3562172734657558,,No Bet,0.0,14.200000000000003,2
36,0.649111345503945,0.1809658311408766,0.1699228233551784,arsenal,manchester utd,1.76,4.2,4.49,56.81818181818182,23.809523809523807,22.271714922048996,102.89942054975462,0,1.4243596808694319,-2.3994350920831824,-2.3704652313524894,Correct_EV_Home_Win,1.4243596808694319,,No Bet,0.0,7.600000000000001,0
37,0.5453824005566446,0.2340049541258602,0.2206126453174952,crystal palace,wolves,1.9,3.61,4.54,52.63157894736842,27.70083102493075,22.026431718061673,102.35884169036083,0,0.3622656105762472,-1.5524211560564476,0.015814097414282635,Correct_EV_Home_Win,0.3622656105762472,,No Bet,0.0,-1.0,0
38,0.6764577140640697,0.1818605331131627,0.1416817528227676,liverpool,aston villa,1.65,4.67,5.02,60.60606060606061,21.413276231263385,19.9203187250996,101.9396555624236,0,1.1615522820571504,-1.5071131036153016,-2.8875760082970663,Correct_EV_Home_Win,1.1615522820571504,,No Bet,0.0,6.5,0
39,0.5384962972329485,0.2291038309925318,0.2323998717745196,aston villa,crystal palace,1.98,3.66,4.08,50.505050505050505,27.322404371584696,24.509803921568626,102.33725879820383,0,0.6622266852123797,-1.6147997856733367,-0.5180852315996001,Correct_EV_Home_Win,0.6622266852123797,,No Bet,0.0,9.8,0
