league,season,game,date,home_team,away_team,FTHG,FTAG,FTR,HR,AR,PSCH,PSCD,PSCA,H_Elo,A_Elo
ENG-Premier League,2324,2024-02-11 West Ham-Arsenal,2024-02-11 14:00:00,West Ham,Arsenal,0,6,A,0,0,6.25,4.4,1.56,1768.10974121,1915.81921387
ENG-Premier League,2324,2024-02-12 Crystal Palace-Chelsea,2024-02-12 20:00:00,Crystal Palace,Chelsea,1,3,A,0,0,5.04,3.99,1.72,1753.84619141,1784.5447998
ENG-Premier League,2324,2024-02-17 Brentford-Liverpool,2024-02-17 12:30:00,Brentford,Liverpool,1,4,A,0,0,4.85,4.45,1.66,1820.78088379,1943.3503418
ENG-Premier League,2324,2024-02-17 Burnley-Arsenal,2024-02-17 15:00:00,Burnley,Arsenal,0,5,A,0,0,10.32,6.08,1.29,1683.77587891,1915.81921387
ENG-Premier League,2324,2024-02-17 Fulham-Aston Villa,2024-02-17 15:00:00,Fulham,Aston Villa,1,2,A,0,0,3.1,3.74,2.28,1733.08740234,1824.44519043
ENG-Premier League,2324,2024-02-17 Man City-Chelsea,2024-02-17 17:30:00,Man City,Chelsea,1,1,D,0,0,1.31,6.6,8.75,2069.97924805,1784.5447998
ENG-Premier League,2324,2024-02-17 Newcastle-Bournemouth,2024-02-17 15:00:00,Newcastle,Bournemouth,2,2,D,0,0,2.0,3.94,3.64,1872.45019531,1657.08825684
ENG-Premier League,2324,2024-02-17 Nott'm Forest-West Ham,2024-02-17 15:00:00,Nott'm Forest,West Ham,2,0,H,0,1,2.29,3.54,3.24,1670.41308594,1768.10974121
ENG-Premier League,2324,2024-02-17 Tottenham-Wolves,2024-02-17 15:00:00,Tottenham,Wolves,1,2,A,0,0,1.51,5.01,5.84,1812.32385254,1715.48828125
ENG-Premier League,2324,2024-02-18 Luton-Man United,2024-02-18 16:30:00,Luton,Man United,1,2,A,0,0,4.32,4.14,1.79,,1870.08166504
ENG-Premier League,2324,2024-02-18 Sheffield United-Brighton,2024-02-18 14:00:00,Sheffield United,Brighton,0,5,A,1,0,4.91,4.32,1.68,1623.86804199,1824.61962891
ENG-Premier League,2324,2024-02-19 Everton-Crystal Palace,2024-02-19 20:00:00,Everton,Crystal Palace,1,1,D,0,0,1.83,3.49,5.06,1704.68493652,1753.84619141
ENG-Premier League,2324,2024-02-20 Man City-Brentford,2024-02-20 19:30:00,Man City,Brentford,1,0,H,0,0,1.18,8.5,15.0,2069.97924805,1820.78088379
ENG-Premier League,2324,2024-02-21 Liverpool-Luton,2024-02-21 19:30:00,Liverpool,Luton,4,1,H,0,0,1.25,6.93,10.47,1943.3503418,
ENG-Premier League,2324,2024-02-24 Arsenal-Newcastle,2024-02-24 20:00:00,Arsenal,Newcastle,4,1,H,0,0,1.36,5.75,8.2,1915.81921387,1872.45019531
ENG-Premier League,2324,2024-02-24 Aston Villa-Nott'm Forest,2024-02-24 15:00:00,Aston Villa,Nott'm Forest,4,2,H,0,0,1.61,4.51,5.37,1824.44519043,1670.41308594
ENG-Premier League,2324,2024-02-24 Bournemouth-Man City,2024-02-24 17:30:00,Bournemouth,Man City,0,1,A,0,0,6.75,5.2,1.45,1657.08825684,2069.97924805
ENG-Premier League,2324,2024-02-24 Brighton-Everton,2024-02-24 15:00:00,Brighton,Everton,1,1,D,1,0,1.87,3.98,4.1,1824.61962891,1704.68493652
ENG-Premier League,2324,2024-02-24 Crystal Palace-Burnley,2024-02-24 15:00:00,Crystal Palace,Burnley,3,0,H,0,1,1.98,3.54,4.13,1753.84619141,1683.77587891
ENG-Premier League,2324,2024-02-24 Man United-Fulham,2024-02-24 15:00:00,Man United,Fulham,1,2,A,0,0,1.65,4.26,5.24,1870.08166504,1733.08740234
ENG-Premier League,2324,2024-02-25 Wolves-Sheffield United,2024-02-25 13:30:00,Wolves,Sheffield United,1,0,H,0,0,1.49,4.65,6.92,1715.48828125,1623.86804199
ENG-Premier League,2324,2024-02-26 West Ham-Brentford,2024-02-26 20:00:00,West Ham,Brentford,4,2,H,0,0,2.33,3.6,3.12,1768.10974121,1820.78088379
ENG-Premier League,2324,2024-03-02 Brentford-Chelsea,2024-03-02 15:00:00,Brentford,Chelsea,2,2,D,0,0,3.28,3.74,2.2,1820.78088379,1784.5447998
ENG-Premier League,2324,2024-03-02 Everton-West Ham,2024-03-02 15:00:00,Everton,West Ham,1,3,A,0,0,2.17,3.56,3.49,1704.68493652,1768.10974121
ENG-Premier League,2324,2024-03-02 Fulham-Brighton,2024-03-02 15:00:00,Fulham,Brighton,3,0,H,0,0,2.62,3.44,2.81,1733.08740234,1824.61962891
ENG-Premier League,2324,2024-03-02 Luton-Aston Villa,2024-03-02 17:30:00,Luton,Aston Villa,2,3,A,0,0,4.55,4.5,1.7,,1824.44519043
ENG-Premier League,2324,2024-03-02 Newcastle-Wolves,2024-03-02 15:00:00,Newcastle,Wolves,3,0,H,0,0,1.73,4.28,4.58,1872.45019531,1715.48828125
ENG-Premier League,2324,2024-03-02 Nott'm Forest-Liverpool,2024-03-02 15:00:00,Nott'm Forest,Liverpool,0,1,A,0,0,5.41,4.51,1.6,1670.41308594,1943.3503418
ENG-Premier League,2324,2024-03-02 Tottenham-Crystal Palace,2024-03-02 15:00:00,Tottenham,Crystal Palace,3,1,H,0,0,1.54,4.6,6.11,1812.32385254,1753.84619141
ENG-Premier League,2324,2024-03-03 Burnley-Bournemouth,2024-03-03 13:00:00,Burnley,Bournemouth,0,2,A,0,0,3.8,3.8,1.99,1683.77587891,1657.08825684
ENG-Premier League,2324,2024-03-03 Man City-Man United,2024-03-03 15:30:00,Man City,Man United,3,1,H,0,0,1.24,7.2,10.75,2069.97924805,1870.08166504
ENG-Premier League,2324,2024-03-04 Sheffield United-Arsenal,2024-03-04 20:00:00,Sheffield United,Arsenal,0,6,A,0,0,17.5,7.75,1.18,1623.86804199,1915.81921387
ENG-Premier League,2324,2024-03-09 Arsenal-Brentford,2024-03-09 17:30:00,Arsenal,Brentford,2,1,H,0,0,1.22,7.5,13.0,1915.81921387,1820.78088379
ENG-Premier League,2324,2024-03-09 Bournemouth-Sheffield United,2024-03-09 15:00:00,Bournemouth,Sheffield United,2,2,D,0,0,1.34,5.79,8.51,1657.08825684,1623.86804199
ENG-Premier League,2324,2024-03-09 Crystal Palace-Luton,2024-03-09 15:00:00,Crystal Palace,Luton,1,1,D,0,0,1.92,3.76,4.12,1753.84619141,
ENG-Premier League,2324,2024-03-09 Man United-Everton,2024-03-09 12:30:00,Man United,Everton,2,0,H,0,0,1.95,3.74,4.01,1870.08166504,1704.68493652
ENG-Premier League,2324,2024-03-09 Wolves-Fulham,2024-03-09 15:00:00,Wolves,Fulham,2,1,H,0,0,2.56,3.44,2.89,1715.48828125,1733.08740234
ENG-Premier League,2324,2024-03-10 Aston Villa-Tottenham,2024-03-10 13:00:00,Aston Villa,Tottenham,0,4,A,1,0,2.55,3.86,2.66,1824.44519043,1812.32385254
ENG-Premier League,2324,2024-03-10 Brighton-Nott'm Forest,2024-03-10 14:00:00,Brighton,Nott'm Forest,1,0,H,0,0,1.63,4.39,5.3,1824.61962891,1670.41308594
ENG-Premier League,2324,2024-03-10 Liverpool-Man City,2024-03-10 15:45:00,Liverpool,Man City,1,1,D,0,0,3.48,3.9,2.06,1943.3503418,2069.97924805
ENG-Premier League,2324,2024-03-10 West Ham-Burnley,2024-03-10 14:00:00,West Ham,Burnley,2,2,D,0,0,1.66,4.08,5.43,1768.10974121,1683.77587891
ENG-Premier League,2324,2024-03-11 Chelsea-Newcastle,2024-03-11 20:00:00,Chelsea,Newcastle,3,2,H,0,0,1.85,4.31,3.91,1784.5447998,1872.45019531
ENG-Premier League,2324,2024-03-13 Bournemouth-Luton,2024-03-13 19:30:00,Bournemouth,Luton,4,3,H,0,0,1.53,4.89,5.69,1657.08825684,
ENG-Premier League,2324,2024-03-16 Burnley-Brentford,2024-03-16 15:00:00,Burnley,Brentford,2,1,H,0,1,3.18,3.65,2.28,1683.77587891,1820.78088379
ENG-Premier League,2324,2024-03-16 Fulham-Tottenham,2024-03-16 17:30:00,Fulham,Tottenham,3,0,H,0,0,3.45,4.0,2.05,1733.08740234,1812.32385254
ENG-Premier League,2324,2024-03-16 Luton-Nott'm Forest,2024-03-16 15:00:00,Luton,Nott'm Forest,1,1,D,0,0,2.67,3.59,2.67,,1670.41308594
ENG-Premier League,2324,2024-03-17 West Ham-Aston Villa,2024-03-17 14:00:00,West Ham,Aston Villa,1,1,D,0,0,2.48,3.69,2.83,1768.10974121,1824.44519043
ENG-Premier League,2324,2024-03-30 Aston Villa-Wolves,2024-03-30 17:30:00,Aston Villa,Wolves,2,0,H,0,0,1.53,4.41,6.66,1824.44519043,1715.48828125
ENG-Premier League,2324,2024-03-30 Bournemouth-Everton,2024-03-30 15:00:00,Bournemouth,Everton,2,1,H,0,0,2.18,3.74,3.24,1657.08825684,1704.68493652
ENG-Premier League,2324,2024-03-30 Brentford-Man United,2024-03-30 20:00:00,Brentford,Man United,1,1,D,0,0,3.39,4.06,2.06,1820.78088379,1870.08166504
ENG-Premier League,2324,2024-03-30 Chelsea-Burnley,2024-03-30 15:00:00,Chelsea,Burnley,2,2,D,0,1,1.25,6.66,11.18,1784.5447998,1683.77587891
ENG-Premier League,2324,2024-03-30 Newcastle-West Ham,2024-03-30 12:30:00,Newcastle,West Ham,4,3,H,1,0,1.85,4.19,3.96,1872.45019531,1768.10974121
ENG-Premier League,2324,2024-03-30 Nott'm Forest-Crystal Palace,2024-03-30 15:00:00,Nott'm Forest,Crystal Palace,1,1,D,0,0,2.25,3.4,3.43,1670.41308594,1753.84619141
ENG-Premier League,2324,2024-03-30 Sheffield United-Fulham,2024-03-30 15:00:00,Sheffield United,Fulham,3,3,D,0,0,4.89,4.13,1.71,1623.86804199,1733.08740234
ENG-Premier League,2324,2024-03-30 Tottenham-Luton,2024-03-30 15:00:00,Tottenham,Luton,2,1,H,0,0,1.19,8.37,12.64,1812.32385254,
ENG-Premier League,2324,2024-03-31 Liverpool-Brighton,2024-03-31 14:00:00,Liverpool,Brighton,2,1,H,0,0,1.29,6.6,9.25,1943.3503418,1824.61962891
ENG-Premier League,2324,2024-03-31 Man City-Arsenal,2024-03-31 16:30:00,Man City,Arsenal,0,0,D,0,0,2.09,3.6,3.72,2069.97924805,1915.81921387
ENG-Premier League,2324,2024-04-02 Bournemouth-Crystal Palace,2024-04-02 19:45:00,Bournemouth,Crystal Palace,1,0,H,0,0,1.89,3.89,4.14,1657.08825684,1753.84619141
ENG-Premier League,2324,2024-04-02 Burnley-Wolves,2024-04-02 19:45:00,Burnley,Wolves,1,1,D,0,0,2.36,3.54,3.08,1683.77587891,1715.48828125
ENG-Premier League,2324,2024-04-02 Newcastle-Everton,2024-04-02 19:30:00,Newcastle,Everton,1,1,D,0,0,2.03,3.78,3.72,1872.45019531,1704.68493652
ENG-Premier League,2324,2024-04-02 Nott'm Forest-Fulham,2024-04-02 19:30:00,Nott'm Forest,Fulham,3,1,H,0,0,2.74,3.48,2.66,1670.41308594,1733.08740234
ENG-Premier League,2324,2024-04-02 West Ham-Tottenham,2024-04-02 20:15:00,West Ham,Tottenham,1,1,D,0,0,3.47,4.26,1.99,1768.10974121,1812.32385254
ENG-Premier League,2324,2024-04-03 Arsenal-Luton,2024-04-03 19:30:00,Arsenal,Luton,2,0,H,0,0,1.13,10.5,19.5,1915.81921387,
ENG-Premier League,2324,2024-04-03 Brentford-Brighton,2024-04-03 19:30:00,Brentford,Brighton,0,0,D,0,0,2.57,3.63,2.75,1820.78088379,1824.61962891
ENG-Premier League,2324,2024-04-03 Man City-Aston Villa,2024-04-03 20:15:00,Man City,Aston Villa,4,1,H,0,0,1.21,7.5,13.5,2069.97924805,1824.44519043
ENG-Premier League,2324,2024-04-04 Chelsea-Man United,2024-04-04 20:15:00,Chelsea,Man United,4,3,H,0,0,1.82,4.41,3.98,1784.5447998,1870.08166504
ENG-Premier League,2324,2024-04-04 Liverpool-Sheffield United,2024-04-04 19:30:00,Liverpool,Sheffield United,3,1,H,0,0,1.06,18.5,31.0,1943.3503418,1623.86804199
ENG-Premier League,2324,2024-04-06 Aston Villa-Brentford,2024-04-06 15:00:00,Aston Villa,Brentford,3,3,D,0,0,1.65,4.22,5.31,1824.44519043,1820.78088379
