home_team_elo,away_team_elo,home_xG_to_date,away_xG_to_date,home_xG_against_to_date,away_xG_against_to_date,home_goals_scored_to_date,away_goals_scored_to_date,home_goals_conceded_to_date,away_goals_conceded_to_date,home_points_to_date,away_points_to_date,home_form,away_form,match_result
1641.85827637,2003.34484863,18.7,35.5,16.0,9.2,17,43,19,6,20,38,0.8,3.0,2
1684.6126709,1565.92993164,18.8,15.2,21.4,21.7,17,13,22,27,15,11,1.4,0.6,0
1618.86047363,1926.00476074,12.2,25.7,26.7,11.0,13,27,29,5,9,36,1.4,3.0,2
1712.55456543,1638.07409668,18.8,13.4,17.9,21.3,20,11,16,19,22,12,2.0,1.4,1
1581.23657227,1700.16540527,13.0,18.4,27.1,16.4,14,20,35,17,8,21,1.8,1.4,1
1853.26074219,1858.98242188,21.2,20.9,19.8,18.6,22,32,23,18,22,30,1.0,0.8,1
1898.4765625,1622.7578125,21.9,17.4,19.1,20.6,25,12,15,26,30,9,1.2,1.0,0
1597.49133301,1870.87463379,18.3,24.6,13.0,14.1,13,30,17,11,16,31,2.0,1.6,0
1860.55737305,1553.25805664,22.0,10.6,19.7,20.3,34,10,20,26,31,10,0.8,0.2,0
1687.48034668,1929.91967773,23.1,28.1,22.3,11.9,25,30,22,6,23,39,1.4,3.0,2
1614.94555664,1650.23242188,13.1,15.2,29.1,24.6,14,19,32,21,9,21,1.4,0.6,0
1560.44299316,1620.35241699,17.3,19.1,23.4,22.2,14,13,30,29,11,9,0.6,1.0,0
1857.59460449,2005.2791748,25.9,38.0,14.8,11.0,31,45,13,7,31,41,1.6,3.0,0
1698.51049805,1900.88195801,19.6,23.5,17.8,20.8,21,28,18,16,22,33,1.4,1.2,2
1851.68591309,1582.89147949,22.3,14.4,20.9,28.3,24,15,25,36,23,9,1.0,1.8,0
1690.09973145,1650.76831055,20.5,17.5,23.5,19.3,20,11,23,20,18,12,1.4,2.0,0
1641.78466797,1610.77124023,14.9,19.0,23.1,14.3,12,15,20,18,13,19,1.4,2.0,2
1708.84399414,1639.9239502,20.6,20.5,19.4,18.5,21,18,17,21,23,20,2.0,0.8,1
1644.13684082,1691.03271484,18.2,20.0,20.5,18.7,13,21,23,20,12,22,2.0,1.4,0
1578.77099609,1694.56726074,15.6,21.7,30.6,24.2,16,23,40,25,9,21,1.8,1.4,2
1550.75561523,1630.05444336,10.9,15.5,21.7,24.9,10,13,27,22,10,13,0.2,1.4,2
1991.24731445,1704.23144531,38.9,22.3,11.6,21.1,45,23,9,19,41,24,3.0,2.0,0
1911.63012695,1621.37060547,24.4,14.5,21.2,30.1,30,15,16,32,36,12,1.2,1.4,0
1642.37268066,1567.49987793,22.2,18.8,20.2,24.1,20,15,23,30,21,14,0.8,0.6,0
1620.33764648,1679.0333252,20.8,23.4,14.9,23.9,17,25,19,26,22,23,2.0,1.4,0
1641.64343262,1863.2746582,16.2,26.5,26.0,15.7,19,33,22,13,21,34,0.6,1.6,2
1940.56933594,1845.85742188,29.7,24.6,12.2,22.1,34,28,6,26,42,26,3.0,1.0,0
