season,game,week,day,date,time,home_team,home_xg,score,away_xg,away_team,referee,game_id,home_team_elo,away_team_elo,home_starters,away_starters,home_team_strength,away_team_strength
1920,2019-10-06 Southampton-Chelsea,8,Sun,2019-10-06,14:00,southampton,1.4,1–4,1.7,chelsea,Paul Tierney,078b24d4,1669.04675293,1861.44934082,"['Angus Gunn', 'Maya Yoshida', 'Shane Long', 'Danny Ings', 'Oriol Romeu', 'James Ward-Prowse', 'Ryan Bertrand', 'Nathan Redmond', 'Pierre Højbjerg', 'Jan Bednarek', 'Yan Valery']","['Kepa Arrizabalaga', 'Marcos Alonso', 'Jorginho', ""N'Golo Kanté"", 'Tammy Abraham', 'Willian', 'Kurt Zouma', 'Mason Mount', 'Callum Hudson-Odoi', 'César Azpilicueta', 'Fikayo Tomori']",0.208,0.499
1920,2019-10-19 Bournemouth-Norwich City,9,Sat,2019-10-19,15:00,bournemouth,0.7,0–0,0.4,norwich city,Lee Mason,d71c01eb,1705.13085938,1612.46679688,"['Aaron Ramsdale', 'Steve Cook', 'Nathan Aké', 'Dominic Solanke', 'Callum Wilson', 'Adam Smith', 'Lewis Cook', 'Diego Rico', 'Harry Wilson', 'Ryan Fraser', 'Philip Billing']","['Tim Krul', 'Max Aarons', 'Ben Godfrey', 'Moritz Leitner', 'Jamal Lewis', 'Todd Cantwell', 'Emi Buendía', 'Teemu Pukki', 'Kenny McLean', 'Ibrahim Amadou', 'Alexander Tettey']",0.191,0.021
1920,2019-10-19 Crystal Palace-Manchester City,9,Sat,2019-10-19,17:30,crystal palace,0.9,0–2,3.5,manchester city,Anthony Taylor,f334b1dc,1753.17407227,2017.5826416,"['Wayne Hennessey', 'Joel Ward', 'Patrick van Aanholt', 'Luka Milivojević', 'James Tomkins', 'Cheikhou Kouyaté', 'Jordan Ayew', 'Wilfried Zaha', 'Jeffrey Schlupp', 'James McArthur', 'Gary Cahill']","['Ederson', 'Raheem Sterling', 'İlkay Gündoğan', 'Gabriel Jesus', 'Rodri', 'Kevin De Bruyne', 'Bernardo Silva', 'David Silva', 'Benjamin Mendy', 'Fernandinho', 'João Cancelo']",0.131,1.529
1920,2019-10-19 Leicester City-Burnley,9,Sat,2019-10-19,15:00,leicester city,1.0,2–1,1.5,burnley,Jonathan Moss,3529c097,1770.26086426,1702.32043457,"['Kasper Schmeichel', 'Ben Chilwell', 'Çağlar Söyüncü', 'Jonny Evans', 'Youri Tielemans', 'Jamie Vardy', 'James Maddison', 'Harvey Barnes', 'Ayoze Pérez', 'Ricardo Pereira', 'Wilfred Ndidi']","['Nick Pope', 'Matthew Lowton', 'James Tarkowski', 'Ben Mee', 'Chris Wood', 'Dwight McNeil', 'Robbie Brady', 'Jeff Hendrick', 'Ashley Westwood', 'Jay Rodriguez', 'Erik Pieters']",0.43300000000000005,0.006
1920,2019-10-25 Southampton-Leicester City,10,Fri,2019-10-25,20:00,southampton,0.3,0–9,4.6,leicester city,Andre Marriner,3e9712d7,1673.70129395,1784.35632324,"['Angus Gunn', 'Maya Yoshida', 'Jannik Vestergaard', 'Danny Ings', 'Oriol Romeu', 'James Ward-Prowse', 'Ryan Bertrand', 'Nathan Redmond', 'Pierre Højbjerg', 'Jan Bednarek', 'Yan Valery']","['Kasper Schmeichel', 'Ben Chilwell', 'Çağlar Söyüncü', 'Jonny Evans', 'Youri Tielemans', 'Jamie Vardy', 'James Maddison', 'Harvey Barnes', 'Ayoze Pérez', 'Ricardo Pereira', 'Wilfred Ndidi']",0.194,0.43300000000000005
1920,2019-10-26 Burnley-Chelsea,10,Sat,2019-10-26,17:30,burnley,2.1,2–4,0.9,chelsea,Michael Oliver,082dc9ef,1706.49755859,1892.25524902,"['Nick Pope', 'Matthew Lowton', 'Jack Cork', 'James Tarkowski', 'Ben Mee', 'Ashley Barnes', 'Dwight McNeil', 'Jeff Hendrick', 'Ashley Westwood', 'Jay Rodriguez', 'Erik Pieters']","['Kepa Arrizabalaga', 'Marcos Alonso', 'Jorginho', 'Tammy Abraham', 'Willian', 'Kurt Zouma', 'Mateo Kovačić', 'Mason Mount', 'Christian Pulisic', 'César Azpilicueta', 'Fikayo Tomori']",-0.024,0.484
1920,2019-10-26 Manchester City-Aston Villa,10,Sat,2019-10-26,12:30,manchester city,2.9,3–0,1.0,aston villa,Graham Scott,e0a4db2d,2034.31018066,1649.1895752,"['Ederson', 'John Stones', 'Raheem Sterling', 'İlkay Gündoğan', 'Gabriel Jesus', 'Kevin De Bruyne', 'Bernardo Silva', 'David Silva', 'Benjamin Mendy', 'Fernandinho', 'João Cancelo']","['Tom Heaton', 'Douglas Luiz', 'John McGinn', 'Wesley Moraes', 'Jack Grealish', 'Marvelous Nakamba', 'Trézéguet', 'Matt Targett', 'Björn Engels', 'Frederic Guilbert', 'Tyrone Mings']",1.607,-0.115
1920,2019-10-26 Watford-Bournemouth,10,Sat,2019-10-26,15:00,watford,0.8,0–0,1.0,bournemouth,Mike Dean,1ef8e186,1659.81762695,1710.10717773,"['Ben Foster', 'Daryl Janmaat', 'Craig Dawson', 'Gerard Deulofeu', 'Tom Cleverley', 'Adam Masina', 'Nathaniel Chalobah', 'Craig Cathcart', 'Abdoulaye Doucouré', 'Christian Kabasele', 'Roberto Pereyra']","['Aaron Ramsdale', 'Steve Cook', 'Nathan Aké', 'Joshua King', 'Jefferson Lerma', 'Callum Wilson', 'Arnaut Danjuma', 'Adam Smith', 'Diego Rico', 'Ryan Fraser', 'Philip Billing']",0.11900000000000001,0.22
1920,2019-10-27 Arsenal-Crystal Palace,10,Sun,2019-10-27,16:30,arsenal,1.3,2–2,1.6,crystal palace,Martin Atkinson,077b30ff,1882.70019531,1757.5534668,"['Bernd Leno', 'Kieran Tierney', 'Sokratis Papastathopoulos', 'Dani Ceballos', 'Alexandre Lacazette', 'Pierre-Emerick Aubameyang', 'Nicolas Pépé', 'Calum Chambers', 'David Luiz', 'Mattéo Guendouzi', 'Granit Xhaka']","['Wayne Hennessey', 'Joel Ward', 'Patrick van Aanholt', 'Luka Milivojević', 'James Tomkins', 'Cheikhou Kouyaté', 'Jordan Ayew', 'Andros Townsend', 'Wilfried Zaha', 'James McArthur', 'Gary Cahill']",0.668,0.128
1920,2019-11-02 Aston Villa-Liverpool,11,Sat,2019-11-02,15:00,aston villa,0.4,1–2,2.4,liverpool,Jonathan Moss,2206646c,1647.73779297,2059.15966797,"['Tom Heaton', 'Douglas Luiz', 'John McGinn', 'Wesley Moraes', 'Marvelous Nakamba', 'Trézéguet', 'Matt Targett', 'Anwar El Ghazi', 'Björn Engels', 'Frederic Guilbert', 'Tyrone Mings']","['Alisson', 'Virgil van Dijk', 'Georginio Wijnaldum', 'Dejan Lovren', 'Roberto Firmino', 'Sadio Mané', 'Mohamed Salah', 'Jordan Henderson', 'Adam Lallana', 'Andrew Robertson', 'Trent Alexander-Arnold']",-0.115,1.1709999999999998
