match,bookmaker,outcome,odds
Leicester City vs Tottenham Hotspur,FanDuel,Tottenham Hotspur,1.57
Leicester City vs Tottenham Hotspur,FanDuel,Draw,4.5
Leicester City vs Tottenham Hotspur,Caesars,Leicester City,5.25
Leicester City vs Tottenham Hotspur,Caesars,Tottenham Hotspur,1.59
Leicester City vs Tottenham Hotspur,Caesars,Draw,4.2
Leicester City vs Tottenham Hotspur,BetOnline.ag,Leicester City,5.25
Leicester City vs Tottenham Hotspur,BetOnline.ag,Tottenham Hotspur,1.62
Leicester City vs Tottenham Hotspur,BetOnline.ag,Draw,4.35
Leicester City vs Tottenham Hotspur,LowVig.ag,Leicester City,5.25
Leicester City vs Tottenham Hotspur,LowVig.ag,Tottenham Hotspur,1.62
Leicester City vs Tottenham Hotspur,LowVig.ag,Draw,4.35
Leicester City vs Tottenham Hotspur,BetUS,Leicester City,5.2
Leicester City vs Tottenham Hotspur,BetUS,Tottenham Hotspur,1.57
Leicester City vs Tottenham Hotspur,BetUS,Draw,4.5
Leicester City vs Tottenham Hotspur,Bovada,Leicester City,5.2
Leicester City vs Tottenham Hotspur,Bovada,Tottenham Hotspur,1.57
Leicester City vs Tottenham Hotspur,Bovada,Draw,4.5
