Player,MBAPPE,O-MBAPPE,D-MBAPPE,eLPA,Born,Age,Competition,Team,Nation,Primary Position,Secondary Positions,SCA%,PRG%,TO%,FIN%,INT%,TKL%,SP%,AER%,USG%,DENY%
Marcos Senesi,-0.007,-0.035,0.028,3.84,1997,23.0,"Eredivisie, UEL",Feyenoord,Argentina,CB,,4.8,8.9,9.5,-0.5,2.6,1.9,0.3,59.7,2.3,0.0
Marcus Berg,-0.015,-0.012,-0.003,0.0,1986,33.0,"Euros, UCL","Sweden, Krasnodar",Sweden,ST,,11.3,7.9,8.8,-5.5,1.1,0.9,0.7,41.0,4.4,0.0
Marcus Coco,-0.037,-0.033,-0.004,1.62,1996,24.0,Ligue 1,Nantes,France,CM,"RW, LW, ST, LM, RM",12.6,8.9,11.1,-6.9,1.5,1.5,0.7,47.0,4.3,0.0
Marcus Danielsson,-0.004,-0.002,-0.002,0.0,1989,31.0,Euros,Sweden,Sweden,CB,,8.1,10.6,8.7,-5.1,1.8,1.0,0.9,55.3,3.2,0.0
Marcus Edwards,-0.072,-0.071,-0.001,1.5,1998,21.0,Primeira Liga,Vitória,England,RW,"AM, LW, ST",17.1,12.2,10.8,-2.7,1.2,0.7,2.8,37.8,6.1,0.0
Marcus Ingvartsen,0.002,-0.007,0.008,2.75,1996,24.0,Bundesliga,Union Berlin,Denmark,CM,"AM, RW, LW, ST, RM",12.2,8.7,9.6,-3.5,1.2,0.8,2.6,47.1,4.7,0.0
Marcus Pedersen,-0.009,-0.001,-0.007,0.0,2000,20.0,UEL,Molde,Norway,RB,,9.4,8.3,9.7,-4.1,1.2,1.2,0.8,45.2,3.4,0.0
Marcus Rashford,0.101,0.074,0.027,6.29,1997,22.0,"UEL, Premier League, Euros","England, Manchester United",England,LW,"RW, ST",16.7,10.7,9.4,12.9,0.6,0.6,1.1,45.1,6.2,0.0
Marcus Thuram,0.06,0.058,0.002,3.19,1997,22.0,"Bundesliga, UCL, Euros","France, Borussia Mönchengladbach",France,LW,"AM, RW, ST",13.6,10.1,9.9,-2.0,1.2,1.0,0.4,57.6,5.7,0.0
Marek Hamšík,-0.008,-0.001,-0.007,0.0,1987,33.0,Euros,Slovakia,Slovakia,AM,,10.0,10.4,9.2,-3.6,1.3,1.1,1.3,50.0,3.7,0.0
Marek Suchý,-0.003,-0.001,-0.002,0.42,1988,32.0,Bundesliga,Augsburg,Czechia,CB,,8.3,8.4,7.9,-3.1,1.5,1.1,0.9,54.4,3.1,0.0
Mariano,0.037,0.035,0.001,0.86,1993,26.0,"La Liga, UCL",Real Madrid,Dominican Republic,ST,,9.2,7.0,9.0,-7.1,1.0,0.9,0.8,54.0,4.1,0.0
Mariano Bareiro,-0.035,-0.03,-0.005,0.0,1995,25.0,UEL,Be'er Sheva,Argentina,CM,,8.8,8.1,8.5,-4.6,1.6,1.3,0.9,56.5,3.0,0.0
Marin Leovac,0.001,0.005,-0.004,0.0,1988,31.0,UEL,Dinamo Zagreb,Croatia,LB,,8.9,9.0,9.6,-6.0,1.5,1.4,1.0,46.6,3.3,0.0
Marin Pongračić,0.016,0.008,0.008,0.87,1997,22.0,Bundesliga,Wolfsburg,Croatia,CB,,7.4,8.0,7.8,-3.6,1.7,1.3,1.1,53.4,2.8,0.0
Marinos Tzionis,-0.045,-0.04,-0.005,0.0,2001,19.0,UEL,AC Omonia,Cyprus,LW,AM,11.2,9.5,9.4,-6.0,1.8,1.3,1.1,45.4,3.7,0.0
Mario Engels,-0.082,-0.076,-0.006,1.1,1993,26.0,Eredivisie,Sparta Rotterdam,Germany,ST,"AM, RW, LW, LM",9.6,7.7,8.8,-7.2,0.9,0.8,1.0,36.3,4.2,0.0
Mario Gaspar,0.051,0.028,0.023,3.3,1990,29.0,"UEL, La Liga",Villarreal,Spain,RB,CB,9.1,9.9,9.4,-7.4,1.8,2.0,0.4,48.7,3.0,0.0
Mario Gavranović,-0.019,-0.017,-0.002,0.0,1989,30.0,"UEL, Euros","Switzerland, Dinamo Zagreb",Switzerland,ST,,9.4,8.5,9.1,-4.8,1.1,0.9,0.9,41.7,3.7,0.0
Mario González,-0.028,-0.016,-0.012,2.5,1996,24.0,Primeira Liga,Tondela,Spain,ST,,11.4,7.3,8.0,9.0,0.7,0.5,0.4,46.3,4.3,0.0
Mario Götze,-0.01,-0.017,0.007,1.84,1992,28.0,"Eredivisie, UEL",PSV,Germany,AM,"LM, RM",15.1,12.2,10.1,6.4,1.5,1.1,0.8,46.4,4.8,0.0
Mario Hermoso,0.06,0.028,0.032,4.75,1995,25.0,"La Liga, UCL",Atlético Madrid,Spain,CB,LB,7.3,11.1,9.7,-1.4,1.8,1.5,0.6,48.8,3.0,0.0
Mario Leitgeb,-0.03,-0.031,0.001,0.0,1988,32.0,UEL,Wolfsberger AC,Austria,DM,CM,8.6,10.4,8.5,-4.1,1.9,1.1,0.9,55.0,3.2,0.0
Mario Lemina,0.017,0.007,0.011,2.57,1993,26.0,Premier League,Fulham,Gabon,CM,"CB, DM, RM",8.7,9.3,8.3,-1.5,1.9,2.0,0.5,48.8,3.3,0.0
Mario Mandžukić,-0.011,-0.005,-0.006,0.28,1986,34.0,"UEL, Serie A",AC Milan,Croatia,ST,"AM, RW, LW",9.4,7.9,8.9,-9.2,1.4,1.4,0.9,50.0,3.8,0.0
Mario Pašalić,0.066,0.062,0.004,2.12,1995,25.0,"UCL, Euros, Serie A","Croatia, Atalanta",Croatia,AM,CM,13.7,11.1,9.0,2.0,1.3,1.3,0.5,46.2,4.6,0.0
Mario Rondón,-0.018,-0.015,-0.003,0.0,1986,34.0,UEL,CFR Cluj,Venezuela,RW,"LW, ST, RM",10.9,9.5,10.1,1.0,1.4,1.1,0.8,48.6,3.9,0.0
Marious Vrousai,-0.01,-0.011,0.001,0.0,1998,22.0,UCL,Olympiacos,Greece,RW,"RB, LW",9.5,9.2,9.4,-4.1,1.7,1.2,1.0,47.0,3.5,0.0
Marius Bülter,-0.009,-0.007,-0.001,1.3,1993,27.0,Bundesliga,Union Berlin,Germany,LW,"AM, RW, ST, LM, RM, WB",11.3,8.8,9.9,-5.3,1.4,1.1,0.7,43.0,4.1,0.0
Marius Noubissi,0.011,0.009,0.002,1.45,1996,23.0,Belgian Pro League,Beerschot Wilrijk,Cameroon,ST,,11.5,7.8,9.1,-2.6,1.0,0.9,0.6,34.2,4.7,0.0
Marius Wolf,-0.022,-0.021,-0.001,3.11,1995,25.0,Bundesliga,Köln,Germany,RW,"RM, RB",12.9,12.7,11.8,-8.0,1.3,0.9,0.4,42.2,4.5,0.0
Mark Diemers,-0.012,-0.013,0.001,2.56,1993,26.0,"Eredivisie, UEL",Feyenoord,Netherlands,CM,"LW, RM, LM",11.7,10.0,9.0,-8.0,1.2,1.2,2.2,44.0,5.9,0.0
Mark Flekken,0.024,0.021,0.002,0.42,1993,27.0,Bundesliga,Freiburg,Netherlands,GK,,7.9,7.6,8.9,-3.1,1.2,1.0,1.0,50.0,3.0,0.6
Mark McKenzie,-0.044,-0.028,-0.015,0.55,1999,21.0,Belgian Pro League,Genk,United States,CB,,8.7,8.0,7.8,-4.6,1.2,1.2,0.8,51.8,3.0,0.0
Mark Noble,0.009,0.015,-0.006,1.03,1987,33.0,Premier League,West Ham,England,AM,"RW, DM, RM, CM",8.5,9.0,8.1,-3.1,1.8,1.0,1.6,51.2,3.3,0.0
Mark Uth,-0.021,-0.017,-0.004,1.83,1991,28.0,Bundesliga,Schalke 04,Germany,ST,AM,12.9,10.9,9.6,-3.5,0.9,1.1,3.8,45.5,4.9,0.0
Mark van der Maarel,-0.052,-0.035,-0.016,1.69,1989,30.0,Eredivisie,Utrecht,Netherlands,RB,"LB, CB",8.5,9.3,9.2,-0.0,1.7,1.6,1.2,56.7,3.1,0.0
Marko Arnautović,0.005,0.006,-0.001,0.0,1989,31.0,Euros,Austria,Austria,ST,,10.9,8.3,9.2,-2.9,1.3,1.1,1.0,51.1,4.1,0.0
Marko Bakić,-0.076,-0.057,-0.019,1.29,1993,26.0,Belgian Pro League,Excel Mouscron,Montenegro,DM,"AM, ST, RM, CM",9.9,11.3,7.8,4.5,1.3,1.5,0.9,50.8,3.4,0.0
Marko Dmitrović,0.004,0.01,-0.005,4.41,1992,28.0,La Liga,Eibar,Serbia,GK,,3.8,2.9,8.9,-3.1,0.4,0.4,0.5,58.9,1.3,5.5
Marko Gobeljić,0.01,0.009,0.001,0.0,1992,27.0,UEL,Red Star,Serbia,LB,WB,10.0,8.7,8.6,-6.9,1.6,1.2,0.9,48.8,3.8,0.0
Marko Grujić,-0.021,-0.021,0.0,1.0,1996,24.0,"Primeira Liga, UCL",Porto,Serbia,CM,"DM, LM, RM",9.3,9.7,8.5,2.5,1.5,1.3,0.5,70.5,3.7,0.0
Marko Ilić,-0.081,-0.05,-0.031,1.52,1998,22.0,Belgian Pro League,Kortrijk,Serbia,GK,,3.6,3.3,7.4,-3.1,0.5,0.4,0.4,53.8,1.4,4.7
Marko Kolar,-0.075,-0.064,-0.01,0.53,1995,25.0,Eredivisie,Emmen,Croatia,ST,"RW, DM, LW",9.6,7.8,7.7,-4.8,1.0,1.0,0.8,48.0,3.8,0.0
Marko Kvasina,0.012,0.014,-0.002,1.28,1996,23.0,Belgian Pro League,Oostende,Austria,ST,"LB, RW",11.4,7.4,9.8,-7.7,1.0,1.1,0.7,58.2,4.6,0.0
Marko Livaja,-0.003,0.002,-0.005,0.0,1993,26.0,UEL,AEK Athens,Croatia,ST,,11.9,9.8,10.1,-1.0,1.2,1.0,1.6,47.2,4.7,0.0
Marko Pjaca,-0.005,-0.003,-0.002,1.91,1995,25.0,Serie A,Genoa,Croatia,ST,"AM, LM, CM",14.0,10.8,8.4,-0.9,1.0,0.8,0.5,33.8,4.5,0.0
Marko Raguž,-0.011,-0.006,-0.005,0.0,1998,22.0,UEL,LASK,Austria,ST,,9.9,8.6,9.1,-0.0,1.2,0.9,1.0,41.7,4.1,0.0
Marko Rog,-0.0,-0.009,0.009,1.61,1995,25.0,Serie A,Cagliari,Croatia,CM,"DM, LM",10.1,11.1,8.1,-4.1,1.8,1.9,0.6,42.7,3.8,0.0
